input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
16.0,44.3,137.5,1184.48095703125,88.798713684082,35.5222702026367,5.01999998092651,11.2069101333618,6.25266981124878,24.39,0.82926,30.07,0.021599999999999966,5.5935,2.4,13.54
18.0,54.1,177.5,1184.67797851562,89.7648620605469,42.7929611206055,5.00972604751587,10.231650352478,6.31133699417114,17.9,0.6086,30.02,0.0038000000000000017,0.17903,8.58,5.25
20.0,61.1,190.5,1185.1650390625,95.4686584472656,41.168098449707,5.01999998092651,4.52763414382935,6.29422616958618,17.9,0.6086,29.99,0.0004,0.0,0.95,0.06
22.0,71.1,205.5,1184.93896484375,91.5447463989258,40.0374412536621,5.04000091552734,8.4668083190918,6.20098781585693,17.9,0.6086,30.0,0.09569999999999994,0.87877,1.27,0.09
24.0,83.0,201.5,1184.68298339844,91.648193359375,41.1531295776367,5.04164123535156,8.35023880004883,6.23311519622803,17.9,0.6086,29.99,0.02179999999999998,4.64917,1.61,0.0
28.0,84.4,194.0,1184.68798828125,96.431770324707,39.0939712524414,4.95921993255615,3.5697751045227,6.30190801620483,17.9,0.6086,26.0,0.007200000000000004,19.70619,1.11,0.01
32.0,87.6,188.5,1184.63000488281,96.1704406738281,40.284538269043,4.99035978317261,3.82922697067261,6.24987697601318,12.5,0.425,26.0,0.02129999999999997,23.8668,1.54,0.0
36.0,87.6,184.0,1185.11999511719,96.6858673095703,39.9925117492676,4.8612961769104,3.31420207023621,6.21216297149658,12.5,0.425,26.01,0.058999999999999976,27.54201,3.01,0.02
40.0,90.4,180.0,1185.11499023437,97.3096237182617,40.3219795227051,4.92020797729492,2.69335198402405,6.2439398765564,8.75,0.2975,26.01,0.021299999999999975,28.67041,1.96,0.01
44.0,95.2,182.0,1185.0419921875,98.214973449707,40.0823707580566,4.94006395339966,1.78493499755859,6.25441598892212,6.1,0.2074,25.99,0.021799999999999965,22.32233,2.91,0.03
48.0,99.6,182.5,1184.91003417969,99.4445114135742,39.925121307373,4.96446514129639,0.555599212646484,6.25371789932251,4.27,0.14518,25.99,0.021399999999999978,14.60628,3.9,0.04
0.0,0.251,58.305,1184.98303222656,100.0,96.3406524658203,5.00000095367432,0.0,6.36579418182373,0.0,0.0,30.09,4.0437,0.4707246000000002,2.7049000000000007,26.337099999999985
2.0,0.43,56.785,1185.19201660156,100.0,84.0452423095703,5.00000095367432,0.0,6.38389301300049,0.0,0.0,30.01,4.4189000000000025,0.1437725000000001,8.462399999999999,24.443600000000007
4.0,1.39,56.725,1185.35595703125,100.0,77.4850311279297,5.00000095367432,0.0,6.33983993530273,0.0,0.0,30.01,4.5531000000000015,0.006654700000000002,8.644900000000002,25.213600000000014
6.0,3.63,58.205,1185.44604492187,100.0,67.9840316772461,5.00000095367432,0.0,6.29886198043823,0.0,0.0,30.01,4.7083,0.0026778999999999996,6.964600000000003,25.012800000000016
